id,dt(s),t(yr),rFeC_pb,mu0,m_l,m_q,kappa,kfe_p,kldoc_p,pge,phi,rCLig,PB(1),PB(2),PB(3),LDOC(1),LDOC(2),LDOC(3),Fe(1),Fe(2),Fe(3),PO4(1),PO4(2),PO4(3),NO3(1),NO3(2),NO3(3),Lig(1),Lig(2),Lig(3),DIC(1),DIC(2),DIC(3),ALK(1),ALK(2),ALK(3),OCPCO2(1),OCPCO2(2),OCPCO2(3),ATPCO2,Limit
2517,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,1E-06,0.000102,0.25,0.1,0,1807.049527,29401.839657,3252.424904,216.977393,67.362488,230.283824,0.000119,0.027892,0.019082,0.372869,0.238755,0.312445,0.936202,0.013974,0.022499,2.110412,2.080497,2.119417,2289.218627,2117.634458,2167.695572,2430.859409,2388.970042,2434.547432,266.418226,290.820758,125.744822,0,322
2518,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,1E-05,0.000102,0.25,0.001,0,18.523421,27.465304,22.888662,5.426274,4.650834,6.619809,0.000622,0.167819,0.129445,2.325083,0.240989,2.453457,32.171628,0.049726,34.278697,2.1727,2.135383,2.233087,2268.320044,2086.634213,2394.607503,2398.40974,2371.660679,2400.422509,288.014819,265.14486,939.665652,0,323
2519,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,1E-05,0.000102,0.25,0.01,0,18.487736,45.972036,22.827004,36.42825,26.73386,48.442123,0.000615,0.372517,0.127917,2.032595,0.240307,2.057364,27.49182,0.038817,27.941215,2.172279,2.124255,2.232419,2270.94922,2092.500894,2352.618877,2403.089191,2376.076749,2406.72728,283.84641,268.484748,581.379911,0,323
2520,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,1E-05,0.000102,0.25,0.1,0,18.520828,607.877469,23.100933,220.274551,125.251529,232.813945,0.016781,1.26307,0.12095,0.314356,0.237951,0.311049,1E-06,0.001119,0.000175,2.109151,2.062598,2.115428,2289.498305,2123.478984,2167.532022,2430.923616,2395.859442,2434.520851,266.708893,291.239299,125.644366,0,222
2521,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,0,0.000102,0.25,0.001,0,1508.36735,1418.09895,1798.898003,3.6E-05,0.00082,0.000861,0.000362,0.09089,0.072929,2.412293,0.241152,2.502399,33.566986,0.052334,35.061774,2.14377,2.129123,2.191076,2268.347221,2085.328781,2399.792312,2398.020352,2370.957753,2399.642143,289.084556,264.087677,997.325986,0,323
2522,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,0,0.000102,0.25,0.01,0,3573.49781,6573.079605,3954.736389,0.103994,0.001637,0.000339,4.5E-05,0.002979,0.003813,2.4611,0.279629,2.485119,34.347909,0.667964,34.785291,2.048495,2.096781,2.054179,2269.059167,2087.312728,2397.950275,2398.630901,2371.996613,2399.902895,289.589786,265.817168,976.645512,0,333
2523,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,0,0.000102,0.25,0.1,0,3589.240882,23743.238365,3940.953898,59.198456,49.336398,60.64182,3E-05,0.002184,0.000266,1.903873,0.239638,1.908997,25.432278,0.028114,25.567336,2.034422,2.062279,2.035716,2274.937595,2100.531539,2336.885987,2407.554775,2384.448873,2409.033114,283.518372,270.380898,490.615733,0,323
2524,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,1E-06,0.000102,0.25,0.001,0,1317.848915,1456.760675,1909.989177,0.955076,0.001143,0.000783,0.000343,0.089586,0.068851,2.398966,0.241142,2.50156,33.353758,0.052164,35.048341,2.160522,2.135425,2.209139,2268.458481,2085.518526,2399.705905,2398.111067,2370.964052,2399.655834,289.114993,264.350481,996.333304,0,323
2525,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,1E-06,0.000102,0.25,0.01,0,1826.329642,6650.855812,3349.804682,27.548957,6.378584,30.602759,0.000129,0.020893,0.021408,2.160459,0.240757,2.201033,29.537652,0.04601,30.239914,2.157294,2.12993,2.197347,2271.227703,2089.323505,2367.852826,2402.272329,2373.082521,2404.447721,286.380279,267.367427,690.083806,0,323
2526,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,1E-06,0.000102,0.25,0.1,0,1807.049527,29401.839657,3252.424904,216.977393,67.362488,230.283824,0.000119,0.027892,0.019082,0.372869,0.238755,0.312445,0.936202,0.013974,0.022499,2.110412,2.080497,2.119417,2289.218627,2117.634458,2167.695572,2430.859409,2388.970042,2434.547432,266.418226,290.820758,125.744822,0,322
2527,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,1E-05,0.000102,0.25,0.001,0,18.523421,27.465304,22.888662,5.426274,4.650834,6.619809,0.000622,0.167819,0.129445,2.325083,0.240989,2.453457,32.171628,0.049726,34.278697,2.1727,2.135383,2.233087,2268.320044,2086.634213,2394.607503,2398.40974,2371.660679,2400.422509,288.014819,265.14486,939.665652,0,323
2528,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,1E-05,0.000102,0.25,0.01,0,18.487736,45.972036,22.827004,36.42825,26.73386,48.442123,0.000615,0.372517,0.127917,2.032595,0.240307,2.057364,27.49182,0.038817,27.941215,2.172279,2.124255,2.232419,2270.94922,2092.500894,2352.618877,2403.089191,2376.076749,2406.72728,283.84641,268.484748,581.379911,0,323
2529,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,1E-05,0.000102,0.25,0.1,0,18.520828,607.877469,23.100933,220.274551,125.251529,232.813945,0.016781,1.26307,0.12095,0.314356,0.237951,0.311049,1E-06,0.001119,0.000175,2.109151,2.062598,2.115428,2289.498305,2123.478984,2167.532022,2430.923616,2395.859442,2434.520851,266.708893,291.239299,125.644366,0,222
2530,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,0,0.000102,0.25,0.001,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,444
2531,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,0,0.000102,0.25,0.01,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,444
2532,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,0,0.000102,0.25,0.1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,444
2533,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,1E-06,0.000102,0.25,0.001,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,444
2534,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,1E-06,0.000102,0.25,0.01,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,444
2535,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,1E-06,0.000102,0.25,0.1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,444
2536,7200,1E-06,4E-05,1.15740740740741E-07,0,0,0,1E-05,0.000102,0.25,0.001,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,444
